variation,verified_reviews,feedback
White,"This item did not work. Certified refurbished should mean it works as advertised. Instead this item crashed as soon as I turned it on and plugged it in. When trying to connect from my phone to the echo dot, it crashed, over and over. Not only would it disconnect but the orange light would freeze and then the thing would reboot with the blue light. Alexa would tell me it’s ready to connect and freeze mid sentence. Tried holding the action button for 5 seconds and it didn’t do anything. Returning immediately and hope they actually fix this item when the next buyer purchases it.",0
White,None,0
Black,Does not work all the time,0
Black,I've already returned it.,0
Black,"Now I'm weary about these picking up conversations when you are not actively using them - heard about this happening on the news.  I have 3-4, so this is very concerning.  I wish Amazon would release something widespread  or push some firmware to prevent this.  If they have, I have not heard about it yet.",0
Black,"There was something wrong with the first one that no even the rep I spoke with could fix. The replacement was registered to someone else. When the price of the Dot went down to $39.99 (same price as the refurbished ones), I bought a brand, spanking new one. No problem with the new one.",0
White,"Two weeks after setting it up it no longer works.  No connection, no light, no sound.  I guess I shouldn't have purchased a refurbished Dot.",0
White,Not good at all!,0
Black,"This is the worst Amazon purchase I have made. I am big Amazon fan...love the brand...unlimited digital music...prime videos...even buy my online games, music, and movies through Amazon. This app I have tried to use it make simple purchases -- to do anything. It is useless.",0
Black,The echo dot disconnects from the speaker about 12-20 times a day. Do not buy the refurbished product.  2 stars for effort.,0
Black,cant seem to get this thing to sink with my wireless not sure If I will be returning it will try one more time.,0
Black,product stopped working after return time ran out,0
Black,"Stopped working after 7 months. The warranty was only good for 3 months. I would have assumed an amazon product sold on amazon would have had higher standards than guaranteeing that it would work for 3 whole months. I mean what is this product supposed to be, a piece of junk?They offered my a 15% discount if I wanted to buy another one. Why would I want to buy another one?",0
Black,Bought this for my son and it didn’t work. He had to return it.,0
Black,Bought 2 and both quit connecting to wifi and responding to voice within 9 months. Hard and soft reset will not fix the problem.,0
Black,The second one which was a refurbished model did work-at least not in my home.,0
White,"Very bad this device, I don’t know if it’s because is refurbished or what but it activated by itself , nobody is talking and he just activated and start talking. When you talk you have to yell super lauded",0
Black,So far not impressed at all. Does not save groups correctly can not understand me most of the time I'm not sure what the excitement is all about. Alexas voice sounds like it's under water how am I supposed to understand!!!!I'm going to return and try a google home!!!,0
Black,"great product, but useless overall. Too many unnecessary features. Unless you have a smart home you don't need it",0
White,I cant figure out how to use it.,0
Black,It doesn’t always  work,0
Black,All the new Amazon products I have are great everything I bought refurbished is complete garbage. I will never purchase Amazon refurbished again total dissatisfaction,0
White,Extremely low in volume,0
White,"Brought to replace one that I moved and doesn't have the same range as my previous (non refurbished) unit. It would seldom be able to find the Wi-Fi and couldn't connect. Got tired of hearing the message (&#34;trouble connecting...check the Alexa app...&#34;) and just unplugged it. I went through the troubleshooting and reconnected it several times, it's just not as strong.",0
Black,"If you want to listen to music and have it come through several of the Echo/Dot units simultaneously, YOU MUST PAY A MONTHLY FEE. I thought this was Amazon, not Apple??!! I’ve paid for many of these so I could have one in each room, is that not enough of my money??!!??",0
White,Eh. It’s works on and off. Half the time it does not respond when you say wake up name. Other then that works fine,0
White,"I wanted a white dot for my white bathroom.  The top is black as shown, which I knew, but I did not realize the cord and plug were also black. I wanted a white cord and plug.",0
Black,I set up the Echo Dot and it worked for an hour and then died completely. DO NOT BUY refurbished!!!! I sent back for return the day after I received.,0
Black,This Echo Dot is horrible. The volume on my phone is louder than than this device. My boss has one at this is not the case,0
White,It's ok. The speaker is pretty terrible. Google home is a better product.,0
White,The first one quit working shortly after I got it. The next one becomes unresponsive to my voice at times and the only way to get it to work is through the app. I am not sure if it just this Dot or they are all this way.,0
White,Device was not working. Followed all instructions for Alexa echo dot and it did not come on. Very upsetting.,0
Black,Sent it back due to crackling noise and turning itself off and on - but what can you expect with a refurbished item?,0
Charcoal Fabric ,"It's like Siri, in fact, Siri answers more accurately then Alexa.  I don't see a real need for it in my household, though it was a good bargain on prime day deals.",0
Charcoal Fabric ,Sound is terrible if u want good music too get a bose,0
Charcoal Fabric ,Not much features.,0
Sandstone Fabric ,"Stopped working after 2 weeks ,didn't follow commands!? Really fun when it was working?",0
Heather Gray Fabric ,Sad joke. Worthless.,0
Charcoal Fabric ,"Really disappointed Alexa has to be plug-in to wall socket all the time.  My fault for not checking this, but made the assumption that a company has technologically advanced as Amazon would sell this product with a rechargeable battery.  If I could return it, I would as my Apple music and boom speaker give me more flexibility the Alexa.",0
Sandstone Fabric ,It's got great sound and bass but it doesn't work all of the time. Its still hot or miss when it recognizes things,0
Sandstone Fabric ,"I am not super impressed with Alexa. When my Prime lapsed, she wouldn't play anything. She isn't smart enough to differentiate among spotify accounts so we can't use it for that either. She randomly speaks up when nobody is talking to her. Just today I unplugged her...not sure I'll ever use my Alexa again.",0
Charcoal Fabric ,Too difficult to set up.  It keeps timing out before you can enter the password,0
Charcoal Fabric ,Alexa hardly came on..,0
Black  Spot,Honestly I like it but at the same time I don’t I could have bought a smaller one that did the exact same thing for less then half I bought it for the video chat and I have never really used it,0
Black  Spot,It is very slow compared to the echo,0
Black  Spot,"As an Alexa device, it works just as well as any of the other products.  Unfortunately it doesn't go up from there.  The ability to play videos is very limited.  You CAN NOT play YouTube and when you can play a video the cropping of the screen makes it look very strange. There is quite a selection of clock faces, and you can control what is displays with one glaring and VERY ANNOYING exception.  You can't turn off the &#34;Things to try&#34; screen You can turn off the screen scroll, but that defeats the purpose of having the screen.  I don't need to be reminded every 5 seconds what things I can do with Alexa.  I don't need the advertising, especially at the cost of this device.  Overall, its an expensive Alexa device with a screen that's not very useful and annoying.  I would not recommend this until the Amazon people get their act together and come up with a screen that's actually useful.",0
White  Spot,I returnef this item because it does not speak Spanish,0
Black  Spot,"When we first received this product, it was great.  However, about a week ago, the device served up a video advertisement around 10:30pm at night and scared myself and my family.  If you want to make sure you are protected and don't allow video directly in your home, the spot is not a device that can keep you safe.",0
White  Spot,After only a couple of days Alexa did not answer. I have disconnected and will see if it does any better after reconnecting.,0
Black  Spot,I wanted to use it as a clock in our bedroom.  But the font is too small to see from any distance.  And apparently you can't change it.,0
Black  Spot,Meh,0
White  Spot,"This product currently has two related software flaws that make it completely unusable:1) There is a &#34;card&#34; on the homescreen called &#34;Things To Try&#34; -- it's an ad for other Alexa services you can try. You can turn off all the other homescreen cards, but not this one.2) By default, the homescreen cards &#34;cycle&#34; automatically, which is incredibly annoying. There is a setting where you can opt to have the cards only &#34;cycle once&#34; instead of &#34;cycle continuously&#34;, but critically *this setting does not work*. My unit has been set to &#34;cycle once&#34;, and the cards still continue to cycle all the time. Have rebooted the device, re-set, etc etc.Until these two obvious software issues are fixed, in my opinion the product is useless.",0
Black  Spot,You need a Harvard law degree to operate this thing! It's going back very soon!,0
Black  Spot,product turns on randomly and sometimes at night,0
Black  Spot,I would love this but there is no way to stop the screen from constantly scrolling through “things to try”. If Amazon would make this a setting I would change my review to 5 stars.,0
White  Spot,I haven't figured out how to make or receive calls.  Device tells me I need to register and I do not know what to do.,0
Black  Spot,"Great product and I would give 5 stars - but you can't scroll face cards without having the stupid &#34;try and ask Alexa&#34; suggestions pop up.  Yes you can have it scroll once, and just stay on the clock, but I like having other cards as well. God its the worst and SO irritating.  I got it super cheap, so i just face the screen toward the wall and treat it like a Dot instead of a Spot.  What a dumb move on Amazons_ part.",0
White  Spot,"This product is a complete waste of money. When you ask Alexa a question ""she"" either doesn't know the answer, gives you the wrong answer or finds information off of Wikipedia!",0
White  Spot,"Honestly it's no different from the Echo dots I already own,  other then occasionally seeing the lyrics to a song I'm listening too i really don't see the difference.",0
Black  Spot,"I switched to google. The amazon helper is more for shopping, and google is the tasks assistant.",0
Black  Spot,ALEXA IS NOT AS SMART AS SIRI! CANNOT CANCEL SNOOZE AFTER ALARM GOES OFF. HAVE TO CANCEL PRE-SET ALARM FOR WEEKDAYS.,0
White  Spot,"Great product EXCEPT there is no possible way for it to act as a clock the displays the time PERMANENTLY.  When in 'Clock' mode, the screen rotates between the clock face and a 'Things to Try' screen.  I intended on buying several units for my house, but I do not need a screen in the house that is permanently trying to upset me.  Acting as clock should be a BASIC feature of the Echo Spot.  How could you get this wrong, Amazon??  #FAIL",0
Black  Spot,"I wanted to use this as a bedside clock with the ability to play music and podcasts. Sadly, it continuously scrolls the &#34;Things to try&#34; and won't stay on the clock face. Amazon is about to get this one back.",0
White  Spot,Not happy with the Spot.  Reset numerous times.  Seems to be in slow mode.  Have to be practically on top of it for it to hear me.  Even after talking with support I still do not have “themes” in the menu to choose from!,0
White  Spot,"All is fine with the Spot exact for one massive failing.  In order to turn off a repeating alarm in the morning you pretty much have to talk - which is not a thing you usually want to do when first woken up and your bed partner will definitely not like.  YES, you can manually swipe up on the alarm face to dismiss but i) swiping up rather than touching screen when you are half asleep is very difficult and results in setting snooze more than half the time even if you really try to swipe to dismiss and ii) if you do manage to swipe up to dismiss, then you completely delete your recurring alarm.This is especially annoying as Amazon could so easily fix this by simply making touching the screen turn off the alarm but NOT delete it or at least make it a setting to decide whether touching the screen for a recurring alarm snoozes or turns it off.  But as the clock has been out for a year now and they still haven't adding this setting, clearly not going to happen.  This may be the biggest product design screw up Amazon has ever made.",0
Black  Spot,"item returned for repair ,receivded item back from repair 07/23/18 . parts missing no power cord included.please advise",0
Black  Spot,"For as awesome as the Echo and Echo Dots are, the Spot is a disappointment. There is very little control over what the screen shows, what the clock looks like, what order things show up in, etc. At this point if I hadn't thrown the box away immediately, I would have sent it back and just got another full size Echo.",0
Black  Spot,Product forces user to review Alexa Things to Try. There is no way to disable it.,0
Black  Spot,"Can’t be used as a baby monitor which is why I had purchased it.  I didn’t realize this until I read the reviews on the Alexa skill for syncing the Nest Cam.  Considering all of the poor reviews and the fact that it should be simple to fix, surprised Amazon hasn’t upgraded the software to allow more than 39 minutes of viewing or alerts like you get on the Nest app.",0
Black  Spot,"I own 3 of these...  amazon is ignoring its customers and using these devices as a marketing tool.  You can customize the screen contents, but you cannot turn off there advertising, Things to Try...  People will suggest that you can, but you can only do so if you turn off all content changes which is not an acceptable option.Moreover, they should increase the size slightly, and improve the audio speaker.  That would give you a 5 star device.Right now i’m debating whether to return all 3 devices.  My wife says we should.",0
Black  Spot,Disconnects often,0
Black  Spot,Get rid of the &#34;Thongs To Try&#34; screen!!!!!!!!!! Numb nuts!!!!!,0
Black  Spot,The echo works fine but then you get indundated with &#34;Things to try&#34;. I am not a 10 year old that needs stimulus to tell me to do things. I found there is no way to turn this off except for .... turning off the screen. If I cannot find a suitable fix for this it goes back.,0
Black  Spot,Can't turn of &#34;things to try&#34; on the screen scroll. This  is a big promotion device for Amazon.  Packing it up and sending it back.  They really want to get in our heads.  Enough already.,0
Black  Spot,This thing woke me up in the middle of the night saying “ready for setup”. It was already setup. Should be a simple thing to check  time before asking. Wife not happy...,0
Black  Spot,"The product is attractive and somewhat useful, BUT, Amazon chose to force users to view their “things to try” and Trending”.  This greatly depreciates the value of the product.  Do not buy unless you are willing to view a billboard from Amazon.",0
Black  Spot,"It's not as good as Siri, BUT it still has some positives, it's great at playing music, and setting alarms. I personally felt that I paid too much for this product, as it was nearly half off on prime day (literally the day after I purchased it). So I'm pretty disappointed. I might still return it and get my money back. .",0
Black  Spot,Fairly useless.,0
Black  Spot,Bought the spot and loved it. Within months it started acting funny and would stop working—called and they determined that it was overheating. I was told to unplug and technical support would call within 24-48 hours. Waited 48 hours without response and replied to email and was asked to wait a week. A week goes by with absolutely no response so I do the inline chat per instructions. Told to wait longer. REALLY????  Unacceptable—expected more from Amazon. Find it funny how they always thank me for being a Prime member but when an issue arises I cannot even get assistance.,0
Black  Spot,For the size of the screen this thing should be $25,0
Black  Spot,Invasive and scared the crap out of me for speaking when it was not spoken to! CREAPY AF,0
Black  Spot,"I love the product , but very disappointed once I  realized I can no longer play youtube videos.  I'm now past my 30 days return date.  I am realizing I now have an expensive alarm clock.  I am hoping youtube comes back.  I was looking to buy an echo show for the kitchen during prime day. Glad I didn't.",0
Black  Show,Waste of money over the echo generation 2.  You don’t really get anything more from a video chat on this device then you would on FaceTime or Skype and it does not cycle through your pictures when you put it on slideshow mode it sticks on the first photo and will not leave it no matter what you do I have even looked online to research articles and cannot find a solution.  I have also had problems with this device shutting down and I have not had these problems on any of the other echo devices.  Price difference is just not worth it,0
Black  Show,No you tube wouldn't have bought it if I known that,0
White  Show,"Don't waste your money.  I own an echo gen 1, and echo gen 2 and a dot. They all do a far better job of voice recognition that the Echo Show.  In fact, it is so bad that it is virtually useless.  Also, the speaker is incredibly bass heavy....so much so that it is hard to understand voices.  I've worked to adjust the bass and punch the mids and treble, but it still sounds awful.  Finally, the screen just doesn't add much.  I can't see if from across the room, it rarely activates in any meaningful way, and when it doesn't, it is more of a distraction than a help.(Using FaceTime is so much more practicalthan using the Show.) I'm surprised Amazon didn't make this a little more useful than it is.  Perhaps in the future, but for now, it is a waste of time and money.",0
Black  Show,Thought it would be more powerful and have a lot more functionality. Not much better than the Echo dot. Not worth the money.,0
White  Show,"Do not understand all the excitement over these alexa devices or the google ones either.  It rarely gets what I say correct, does not control the Dish receiver.  Yes I set it up correctly, using the alexa app on my phone.  We got this for 129,  which is a good deal, ti is definately not worth the 229 price though.  Maybe in another month it will get better, or either I have one that is just deaf and dumb.  Really can not recommend this item at the current time",0
White  Show,Very disappointed.  Alexa doesn’t hear me and doesn’t respond to my requests.,0
Black  Show,I have been through 4 Shows now.  And ALL OF THEM HAVE BEEN BROKEN.  It has been anything from screens that lose lines of resolution to timers and reminders going off an hour late or reminders that trigger when trying to set other reminders.  I don't have these issues on my Dot or my Echo.  Just on the Show.  It would be nice if Amazon could get there act together and actually fix this thing.,0
White  Show,"Alexa is pretty dumb ,,,",0
Black  Show,Fire HD does so much more.  Over priced pair of speakers.,0
Black  Show,"Very intrusive, so I turn it off",0
Black  Show,"It's like having another kid in the house; I have to constantly repeat myself.I can tell Alexa to do something clear as day, and according to the history, she hears something comeletely different.The device is really cool, and I like the concept, which is why it gets two stars. However, it just doesn't work as intended.I find myself irritated more often than not when I use this device.",0
Black  Show,The way the music sounds is poor quality,0
Black  Show,All of my echo devices stopped communicating properly with Sonos devices upon connecting the echo show to my account. Asking any echo device to play music on Sonos baffled the system that had previously worked flawlessly. This went on for two weeks until I eventually solved the problem that neither Amazon nor Sonos could figure out.,0
Black  Show,It f****** sucks,0
White  Show,"Always wanted one,till I got one, it's not at all what it's cracked up to be, it's hard to navigate I actually like the dot better.",0
Black  Show,"Echo Show is said to work with certain apps but,NOT!!! Cozi state works with Echo Show, but the Cozi Family’s doesn’t very well, Amazon needs to go back to drawing board, it would be such a needed piece of technology, but it lacks the essential, please fix. Cost of the Echo Show was  marvelous . Got Echo Show to take on shopping list but that is all so far, adding items to list has long lag, and it not my router being slow, my provider speed is !GB, speed not a problem, but before new items is updated on Cozi is very slow. Help is needed to get it updated to A1 working conditioning.",0
Black  Show,"Disappointed that this device Is not able to access youtube as of Dec 2017. I wasn’t aware of that when I purchased it. I’ve had problems with my device. The voice stops working throughout the day. I can see it trying to respond to me, because the window it opens contains the info I asked about, but it’s like the device gets stuck in the process. It stops working, and the blue bar just flashes. I keep having to unplug and restart the device. Once I do that, it starts working again. So irritating. This device could really be a great device if Google and Amazon would act like grownups...",0
Black  Show,Returned from repair with No repair done. It has a problem which requires it to be on for a while for the defective part to show itself.I sent it for repair and got it back without being fixed.  The site gives no option to complain from the page.I have a echo spot which works perfectly in the same position.,0
Black  Show,"Great device, features are awesome, the interaction is fantastic. Home automation works perfect if you link up your accounts correctly. My only issue is out of (4) Echo Shows (2) of them have been sent off for repair because of the screen glitching!! These are less than 3 months old and already having issues!First repairs were sent off and they “updated the firmware” when I got the device back nothing worked, I had to update to the newest firmware for it to work again. Then (2) weeks later the glitch starts up again!I love the show but I’m getting really frustrated with the glitching.",0
Black  Show,"I bought this product hoping that Alexa would be pretty well developed and far enough along, therefore expecting her to be responsive. This $100 piece of crap doesnt even know how to respond to a question that amazon themselves told me to ask her. (Echo buttons manual, see Step 3.) The device has potential given it has a big screen, decent sound but for 200 bucks, I would never reccomend it. Even for the $100 I spent, I feel like I got shorted. Oh and lastly, the device is pretty useless without a prime membership. I linked my personal account to it and the thing was literally a decorated bluetooth speaker. I went on the family account (this one) and got it to work minimal. Oh, and even with our prime membership, you have to have a music pass or something that's an extra 3.99 a month, leaving this item a subscription nightmare, and a overpriced, decorated bluetooth speaker in my eyes. I would give it zero stars if I could.",0
White  Show,"Our family bought several of these to help communicate with older parents and grandparents who need simpler devices than a full-fledged tablet.  What fantastic potential these have - for digital photo screen, video calls, easy accesss to music, audio books, etc. However, once we have them setup, we discovered the huge lurking negative.  Amazon forces you to view continous spam on the home screen promoting all their Alexa features.  You can turn off many other things in settins, but you cannot turn off &#34;Things to Try&#34;.  Instead of a beautiful digital photo screen with weather and time ... we now constantly have a spam ad across the home screen that says, &#34;Try ......&#34;.  AMAZON, please listen to your customers and offer a setting to turn off this SPAM!",0
White  Show,No YouTube,0
White  Show,"Works fine, I just realize I don’t need this because I don’t use it.",0
Black  Show,Need to be able to connect to more 3rd party viceo apps,0
White  Show,The tech isn’t there. It doesn’t understand most common words and is basically a glorified radio,0
White  Show,The sound on these is terrible. It’s like a tin can. I love my echo but this item is awful.,0
Black  Show,"This was my 4th echo device, 1st echo show  it seemed to have huge potential, and I really wanted to like it, but soon found out it is quite limited. A bit disappointing, but not the end of the world, I used it like I use my other, screenless echos.... For a little under 2 month, when the screen started flickering, mostly on the bottom of the screen but not just. A quick look in some forums made me understand it is pointless asking for a replacement, as some people had 2-3 devices replaced, only to start flickering again shortly after. Amazon are not providing any serious answers, and this has been going on for quite some time apparently.Long story short, I moved it to the hallway, and been using it as a very expensive... and bulky voice activated light switch for my hue lights. So like the headline suggests... Meh.",0
Black  Plus,Alexa didn’t know answers to many questions we asked. For example we asked how many cups in a pound and she said a pound is a form of money,0
Black  Plus,"I decided to buy smart door lock and decided on getting the Echo Plus to control it.  I chose a Kwikset 888 because Amazon said it was compatible and I bought 2 Dots while I was at it.  And when I posed the question, somebody in the community said it will work with Alexa.  What I didn't know was the Z-wave lock and Zigbee Alexa hub weren't compatible.  Does any body know of a lock that works seamlessly with Echo Plus?  If not, I guess my choices are: 1. Exchange the Plus for a regular Echo and buy a separate hub like Wink.  2. Return the whole Alexa system and get something else.I  don't want to just buy another hub to use along side my Echo Plus or I'll be back here asking how to integrate two hubs.The reason I kept from buying smart systems up to this point  is because I was afraid they wouldn't operate seamlessly and unfortunately I only do enough research after something doesn't work.",0
Black  Plus,no habla espanol,0
Black  Plus,no it is broke and I can't get help fixing or replacing it,0
Black  Plus,"I’m still unable to connect any devices although it says it has a built in hub. So bought a bridge to connect the devices thinking that everything would sync and my other devices are still not discovered via my echo plus and I was looking forward to this feature. Being able to play music, check the weather etc is fine.",0
White  Plus,Terrible. Stopped working after one day.,0
White  Plus,"It does not speak in Spanish,,,I bought it for my grandmother to have someone to talk to when I’m not around,,,,,no Spanish!",0
Black  Plus,"When I got this Echo I was excited to have a device with better sound than my Dot and a hub to control some Hue bulbs.What I didn't realize and also wasn't fully communicated to me, is that you can't use Hue bulbs to their full potential with this device. You can only turn on and off the lights and set them to a number of preset colors. You also cannot update the bulbs to the newest firmare which is a security concern for me.Do not buy this if you want a full featured hub for your new IoT devices. If you do, you will end up needing to update to a standalone hub, which makes the hub inside this device redundant and pointless.I still love the echo and have zero complaints about the Alexa functionality or sound quality of this device. I'm only disappointed with the hub's functionalities.",0
Black  Plus,"I am so disappointed in this product.  I tried to install two different units and neither one of them were successfully completed.  Hours with Amazon technicians.. resetting each of them.  The app didn't connect the Echo Plus to the internet connection.  Tried using the application on a phone, a tablet and on a Chromebook... No luck.  There are no clean directions on the application.  Probably sending this back to Amazon..mark this as Not ready for prime time.",0
White  Plus,The alexa is awesome but when i rcieved the light buld i did not know that u need another adapter to have the light buld to work. I was not aware of that.  Disappointed,0
Black  Plus,wish it had a battery or was described better as a plug in only item.,0
Black  Plus,"It was harder to setup then I thought it should be, for some reason I had to default  it twice. Had to go thru too many steps to setup and find my devices. Would be nice if it could interact with my Xfinity cable tv cable box and it also does not work with my Xfinity alarm for my house or my cameras, be nice set and disarm the alarm with Alexa. Had to install a skill app to setup bulb ??? whats that about, you ship it with your product ??? should have said (Alexa setup bulb) or (Alexa find new bulb) ??? and (Alexa setup Nest)??? it's fine that you use third party apps but Alexa should do the work for you.",0
Black  Plus,The echo part works fine.  The hue hub is a disaster.  It worked for a few months and then nothing.  I spent 2 hours on the phone with tech support one =y to have to send it in for repair.  I am now trying to reconnect my lights.  What a pain.  I am having to reset each light bulb.  It can take up to 5 times to get it to reset.  I have spent hours on this.  I will say customer service was friendly and tried to be helpful.  Stick with the echo and smart plugs for lamps.,0
Black  Plus,It was supposed to come with a free Hue lightbulb on Amazon Prime Day.  No light bulb arrived.  False advertising!,0
Black  Plus,Haven't had it a week and already it cannot connect to my network. Tried reconnecting manually and the echo never appears in the list of devices to connect. It will be on it's way back to Amazon,0
Black  Plus,"I'll be returning it.  It's been nothing but annoying.  The hub can't be turned off if not needed and it interferes with my Hue Bridge.  I can't even install Philips lights with it unless I unplug it to do so.  There are plenty of other reviews that go in depth with the issues.  Bottom line is it sucks as a hub.  It doesn't support z-wave and zigbee (which in fairness I knew in advance), but when the one protocol it does support doesn't do many functions that a dedicated one will, what's the point?  I noticed right away that my Philips Hue Bridge supports firmware upgrades to the light bulbs themselves and this doesn't.  I found that rather interesting.",0
Black  Plus,The Echo does not link to Direct tv even though they said it would. I have spent multiple hours on this. Made phone calls and texts. Also is missing free bulb.,0
Black  Plus,Doesn't use apple music.  It is worthless to me without it.  Sound quality on it is also poor.,0
Black  Plus,"I'm sure the Echo is as cool as everyone says....but I won't get to try this one. Even though I have a Large covered porch.....the package was left on my top step on a day forecast for 100% chance of rain.....and rain it did, soaking the package. I'm not even going to open it and see how bad the damage is. This order has been cursed from the beginning. Ordered as a Birthday Gift and Delivery was not made on scheduled day. Now I get it, and its rain-soaked.",0
Black  Plus,I am not tec smart enough to make it work at all. Will send it back if I cant get help. My eco dot works just fine. this is too complacated.I just wanted a bigger speaker.,0
Black  Plus,Product does not.  Light bar never went orange.  I googled it and reset instructions actually differ from package instructions. I tried both.  Product is defective,0
Black  Plus,"I have been thinking about getting this for a long time and was excited when it arrived bundled with a Philip Hue bulb.  The excited ended quickly.  I spend about a total of 4 hours attempting to add this bulb to my Alexa Echo Plus.  Everything I tried, ended in a Discovery Failed message.  I tried to set this up over and over and over again.  I watched YouTube videos.  I read set up websites.  I was the poster child of insanity (doing the same thing over and over again and expecting different results).The next day I went onto Amazon to get the tech support.  I was hoping something would be done to make this thing work, but also the problem not being operator error.  Well after 3 tech support staff and 1 hr. and 19 mins. of being on the phone, it still didn't work.  This product has tested my patience.  So far this experience is shifting my mindset from going to a smart home to just kicking it old school.The only reason I gave this two stars is because Amazon will be sending me a different Echo Plus and light bulb.  The problem wasn't the bulb, because before packing up the items, I purchased another bulb and still Alexa couldn't locate this device.I pray the next attempt is successful and then I will revise this rating, but what are the odds that I was shipped a defective Echo?  The support person had the same thought.  Maybe I should be exploring the Google device but I can't get over the look of that hub.  It looks like a defuser.I can't believe I didn't find YouTube videos that show the problems I did.  Everything looked simple and seamless...NOT the experience I had.  OK, I'm done with this review because I spend enough wasted time this weekend already.",0
Black  Plus,received the wrong product...was so excited to install it ...all excitement gone. Thank you Amazon.,0
White  Plus,"Why do we need to buy a $100 hub to get it to work with Samsung TV's and many other devices?  I want my money back!  This thing won't even turn on my TV unless I buy another hub.  What's the point of having a hub that doesn't support half the devices out there?  DON'T buy this thing unless you want to spend another $100 on another hub.  It won't work with many of your devices.  Just by the Echo or Dot if you must but not this.  Better yet, get a Google device.  They actually understand you when you talk.",0
Black  Plus,"I only purchase the echo plus because it has a built in hub and came with the free philips hue bulb.  When I got everything set up, I realized the echo plus hub won’t allow full functionality of the bulb.  All it does is turn the light on/off and dim.  It will not change colors.  You still have to have a Hue Bridge to have full function of all the features of the bulb.  I wish I’d bought the bulb and bridge separately to use with the echo I already had since the built in hub on this echo will essentially be useless and I’ll have to buy the hue bridge to get the full benefit of the lights.",0
White  Plus,"At a volume setting of half or less, the speaker sounds like there is something rattling, crackling or vibrating in it.  I'd understand if the volume was set higher.  All speakers get distorted when over-driven.  But this doesn't sound like this is an over-driven case; sounds like more of a rattle/crackle.  Possibly because the bass is too high.  Learned that there is no ability to adjust any of the sound characteristics (other than volume).  I will attempt to exchange it assuming it is just an isolated problem.",0
